sentence_id,1-gram_add1,1-gram_addk,1-gram_tokentype,2-gram_add1,2-gram_addk,2-gram_tokentype,3-gram_add1,3-gram_addk,3-gram_tokentype,4-gram_add1,4-gram_addk,4-gram_tokentype
1,2.4330640150167235e-266,3.201818600929176e-267,1.0519416175146114e-300,4.069386709581319e-275,2.8503308379927157e-261,1.1492475282236883e-290,1.2640615667759874e-279,5.303482032520603e-266,2.822107660902549e-282,4.228800298176931e-280,2.1367843449931705e-266,3.171910192380123e-280
2,5.886164537764038e-53,1.1927610106070264e-52,9.495830450887656e-61,1.9446984258382074e-56,1.5803422747738718e-53,1.0192371057909154e-59,2.903134306765486e-57,3.0083671325981973e-54,1.452181919015006e-57,1.4524184846682518e-57,2.0079307492257164e-54,1.4524184846682518e-57
3,4.367296185467079e-154,6.732172808112615e-153,2.1500735168249018e-208,4.228782627889148e-178,3.527777727153263e-167,1.0406802099471505e-204,2.142786176047602e-192,1.75555693243639e-182,1.7027622211048626e-198,8.529000189533872e-195,3.842359511853987e-185,7.208923599893463e-196
4,5.0885673649693735e-87,8.66499006428568e-87,1.4323386721164877e-104,1.8753100991999307e-94,1.4926039012947922e-89,1.2892835296126486e-101,6.553235139783342e-97,8.425387578124245e-92,3.573821328563012e-98,3.4666076413779457e-98,4.60059172327795e-93,3.4666076413779457e-98
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.524184497403684e-41,1.7382448450397937e-40,1.1299878552250041e-52,3.2188250301549683e-47,1.7244428180254865e-44,2.3288453711911244e-52,7.568903859979835e-50,3.473036252355096e-47,9.774063490401536e-51,3.8014811302051165e-50,2.3362115640712025e-47,3.8014811302051165e-50
8,1.9950175549169943e-76,4.0786419426002204e-76,1.380303158219614e-100,6.564560898790019e-85,1.346526179769737e-79,2.2903896892589162e-98,1.1828118598668359e-92,1.1767164020979393e-87,6.993643304308541e-96,1.7729966305983275e-94,1.5683422576499505e-89,1.1084477933305976e-94
9,1.1474908804749373e-28,1.5940662496964388e-28,1.0091154870729456e-32,3.28850190169349e-30,1.7593351296406143e-28,1.0448670690151321e-31,2.6620192957076717e-31,1.6149673407489457e-29,1.1101504140877833e-31,1.3323107070995444e-31,1.0787498947800922e-29,1.3323107070995444e-31
10,8.206626742084881e-182,3.224268729806921e-181,3.1680954484412104e-228,6.684476090985657e-199,1.040059061058219e-187,2.630837950695257e-224,4.7274280554301544e-213,1.1777741105162055e-202,3.2675300936226003e-217,2.4378628179020196e-213,8.350577585002355e-203,2.4378628179020196e-213
11,5.657660905197961e-172,1.524286219931079e-171,1.105994849922279e-208,1.244748282435357e-182,6.217963515830588e-172,1.9725559173619163e-203,5.073513910162696e-193,3.648608355326447e-183,2.0445535431602348e-197,8.535668599176774e-195,3.8483671585344024e-185,1.1263805521384579e-195
12,8.36135561093117e-227,2.7337548615864253e-226,1.910645385163877e-280,6.132694440117999e-248,1.963523532138813e-234,8.96058251215591e-275,1.452691787869271e-260,1.070433822167983e-247,4.317694038213027e-265,1.4816394312221335e-261,9.860857245565367e-249,4.6898327132278523e-262
13,6.653814473602441e-67,9.591078571585925e-67,9.733454414960171e-81,1.3573943360841725e-70,2.486498464754032e-66,1.3785024974360993e-77,1.644623619001717e-74,2.0332003169701735e-70,1.2638090332459295e-76,4.1409469166696296e-76,4.3417180240281075e-72,2.33107533772477e-76
14,8.52629962762218e-116,3.4413201995631894e-115,1.5803933948387142e-148,2.3636900302118217e-126,1.4421346937879252e-118,2.7699920288172004e-144,7.162969479414823e-138,7.359059149135466e-131,3.0903136188190137e-142,3.6737613547950515e-139,3.787333263022481e-132,1.9804991822761434e-139
15,9.547666785006515e-143,3.053286061251591e-142,1.4448273092396475e-176,2.770515515721959e-155,2.202758107409525e-146,5.287090960063365e-171,7.992172477710168e-163,2.7734532665245546e-154,1.37562933005255e-166,4.003775041921002e-165,7.045407048968688e-157,3.020661026704269e-166
16,8.17490144277021e-17,1.6342740555800682e-16,1.1095884084477019e-20,2.1167824584282824e-18,3.505531301699926e-17,1.944096085169691e-20,5.3270355965482424e-20,1.0603514653802752e-18,1.859738996232139e-20,1.7840093473078357e-20,4.281204020323371e-19,1.7840093473078357e-20
